# time  ID  size  fromHost  toHost  TTL  isResponse
4259.7827 N211 1000000 ADB2 p2_20 300 N 
4283.0000 M145 81105 p2_18 ADB2 300 N 
4285.2654 N212 1000000 ADB2 p2_18 300 N 
4289.5064 N213 1000000 ADB2 p2_22 300 N 
4294.4719 N214 1000000 ADB2 p2_20 300 N 
4314.0000 M146 55487 p1_6 ADB2 300 N 
4321.5740 N215 1000000 ADB2 p1_5 300 N 
4342.0000 M147 57429 p2_17 ADB2 300 N 
4347.1394 N216 1000000 ADB2 p2_22 300 N 
4368.0000 M148 75450 p2_19 ADB2 300 N 
4371.1419 N217 1000000 ADB2 p2_20 300 N 
4389.2066 N218 1000000 ADB2 p1_9 300 N 
4402.0000 M149 136647 p2_23 ADB2 300 N 
4408.6654 N219 1000000 ADB2 p1_9 300 N 
4424.0082 N220 1000000 ADB2 p2_18 300 N 
4432.0000 M150 69739 p2_20 ADB2 300 N 
4449.1634 N221 1000000 ADB2 p1_9 300 N 
4451.7431 N222 1000000 ADB2 p2_19 300 N 
4462.0000 M151 86319 p2_18 ADB2 300 N 
4481.2081 N223 1000000 ADB2 p1_12 300 N 
4488.0000 M152 88468 p2_18 ADB2 300 N 
4488.7420 N224 1000000 ADB2 p1_13 300 N 
4498.0768 N225 1000000 ADB2 p2_23 300 N 
4515.0000 M153 111960 p1_7 ADB2 300 N 
4519.1933 N226 1000000 ADB2 p1_6 300 N 
4525.5955 N227 1000000 ADB2 p2_22 300 N 
4525.9645 N228 1000000 ADB2 p1_11 300 N 
4529.1020 N229 1000000 ADB2 p1_7 300 N 
4537.9530 N230 1000000 ADB2 p1_7 300 N 
4548.0000 M154 145784 p1_12 ADB2 300 N 
4549.5155 N231 1000000 ADB2 p1_8 300 N 
4554.3874 N232 1000000 ADB2 p1_12 300 N 
4566.2035 N233 1000000 ADB2 p1_7 300 N 
4577.6892 N234 1000000 ADB2 p2_15 300 N 
4580.0000 M155 112207 p2_21 ADB2 300 N 
4587.3632 N235 1000000 ADB2 p1_7 300 N 
4595.7536 N236 1000000 ADB2 p2_18 300 N 
4603.0538 N237 1000000 ADB2 p1_13 300 N 
4604.6558 N238 1000000 ADB2 p2_20 300 N 
4609.5310 N239 1000000 ADB2 p1_14 300 N 
4614.0000 M156 138589 p1_14 ADB2 300 N 
4619.1707 N240 1000000 ADB2 p2_21 300 N 
4648.0000 M157 110115 p1_5 ADB2 300 N 
4652.6689 N241 1000000 ADB2 p1_12 300 N 
4666.4232 N242 1000000 ADB2 p2_23 300 N 
4682.0000 M158 102730 p1_7 ADB2 300 N 
4682.2665 N243 1000000 ADB2 p1_14 300 N 
4686.0113 N244 1000000 ADB2 p1_9 300 N 
4707.9391 N245 1000000 ADB2 p2_16 300 N 
4709.0000 M159 115139 p1_5 ADB2 300 N 
4736.0000 M160 131657 p1_12 ADB2 300 N 
4761.3251 N246 1000000 ADB2 p2_19 300 N 
4770.0000 M161 146114 p1_12 ADB2 300 N 
4783.1034 N247 1000000 ADB2 p1_10 300 N 
4796.0000 M162 89285 p2_20 ADB2 300 N 
4806.4521 N248 1000000 ADB2 p2_18 300 N 
4817.9042 N249 1000000 ADB2 p2_15 300 N 
4820.8037 N250 1000000 ADB2 p2_15 300 N 
4823.0000 M163 76214 p1_8 ADB2 300 N 
4832.9081 N251 1000000 ADB2 p1_5 300 N 
4834.8759 N252 1000000 ADB2 p2_21 300 N 
4850.0000 M164 122765 p1_11 ADB2 300 N 
4878.5530 N253 1000000 ADB2 p2_22 300 N 
4884.0000 M165 76052 p1_8 ADB2 300 N 
4904.8978 N254 1000000 ADB2 p1_6 300 N 
4917.0000 M166 77967 p1_14 ADB2 300 N 
4928.3195 N255 1000000 ADB2 p2_22 300 N 
4930.4907 N256 1000000 ADB2 p2_21 300 N 
4932.7859 N257 1000000 ADB2 p1_13 300 N 
4949.0000 M167 99317 p1_8 ADB2 300 N 
4961.4674 N258 1000000 ADB2 p1_8 300 N 
4961.4727 N259 1000000 ADB2 p1_6 300 N 
4983.0000 M168 104957 p2_17 ADB2 300 N 
4986.9460 N260 1000000 ADB2 p2_19 300 N 
4986.9883 N261 1000000 ADB2 p1_7 300 N 
4991.8958 N262 1000000 ADB2 p1_9 300 N 
5013.0000 M169 148916 p2_19 ADB2 300 N 
5042.3297 N263 1000000 ADB2 p1_5 300 N 
5043.0000 M170 52107 p1_7 ADB2 300 N 
5057.1174 N264 1000000 ADB2 p1_12 300 N 
5069.0000 M171 132141 p1_9 ADB2 300 N 
5070.0721 N265 1000000 ADB2 p1_13 300 N 
5073.3351 N266 1000000 ADB2 p1_9 300 N 
5077.8196 N267 1000000 ADB2 p1_14 300 N 
5080.5889 N268 1000000 ADB2 p1_5 300 N 
5089.5670 N269 1000000 ADB2 p1_7 300 N 
5096.0000 M172 112878 p2_17 ADB2 300 N 
5107.7228 N270 1000000 ADB2 p1_13 300 N 
5129.0000 M173 79743 p1_8 ADB2 300 N 
5148.3793 N271 1000000 ADB2 p2_17 300 N 
5160.0000 M174 87933 p1_5 ADB2 300 N 
5169.1144 N272 1000000 ADB2 p1_12 300 N 
5175.6283 N273 1000000 ADB2 p1_11 300 N 
5189.0000 M175 68459 p1_9 ADB2 300 N 
5195.3090 N274 1000000 ADB2 p1_13 300 N 
5205.6777 N275 1000000 ADB2 p1_5 300 N 
5217.0000 M176 95444 p1_6 ADB2 300 N 
5227.3419 N276 1000000 ADB2 p1_12 300 N 
5247.0000 M177 86674 p2_18 ADB2 300 N 
5250.9006 N277 1000000 ADB2 p1_11 300 N 
5255.3659 N278 1000000 ADB2 p1_11 300 N 
5258.8502 N279 1000000 ADB2 p1_13 300 N 
5274.7988 N280 1000000 ADB2 p1_14 300 N 
5278.0000 M178 138860 p2_22 ADB2 300 N 
5278.8894 N281 1000000 ADB2 p1_11 300 N 
5289.2093 N282 1000000 ADB2 p2_21 300 N 
5306.8570 N283 1000000 ADB2 p1_11 300 N 
5309.0000 M179 65625 p1_12 ADB2 300 N 
5318.4642 N284 1000000 ADB2 p2_15 300 N 
5325.5683 N285 1000000 ADB2 p2_15 300 N 
5328.8200 N286 1000000 ADB2 p1_7 300 N 
5338.0000 M180 51076 p2_15 ADB2 300 N 
5346.8099 N287 1000000 ADB2 p2_20 300 N 
5361.8228 N288 1000000 ADB2 p1_7 300 N 
5362.3138 N289 1000000 ADB2 p1_11 300 N 
5363.0000 M181 85256 p1_5 ADB2 300 N 
5365.2160 N290 1000000 ADB2 p2_22 300 N 
5395.0000 M182 86202 p2_17 ADB2 300 N 
5395.2236 N291 1000000 ADB2 p2_15 300 N 
5429.0000 M183 77190 p2_17 ADB2 300 N 
5440.0840 N292 1000000 ADB2 p1_12 300 N 
5462.0000 M184 90578 p1_14 ADB2 300 N 
5473.2876 N293 1000000 ADB2 p2_22 300 N 
5486.9049 N294 1000000 ADB2 p2_19 300 N 
5493.0000 M185 122495 p1_5 ADB2 300 N 
5495.6210 N295 1000000 ADB2 p2_23 300 N 
5499.6412 N296 1000000 ADB2 p2_20 300 N 
5509.7094 N297 1000000 ADB2 p1_6 300 N 
5514.2717 N298 1000000 ADB2 p1_10 300 N 
5514.6419 N299 1000000 ADB2 p1_12 300 N 
5518.0000 M186 119757 p1_8 ADB2 300 N 
5536.8206 N300 1000000 ADB2 p1_8 300 N 
5538.8324 N301 1000000 ADB2 p2_21 300 N 
5539.7652 N302 1000000 ADB2 p2_18 300 N 
5543.0000 M187 67614 p2_18 ADB2 300 N 
5544.0948 N303 1000000 ADB2 p2_23 300 N 
5552.8572 N304 1000000 ADB2 p1_7 300 N 
5554.3128 N305 1000000 ADB2 p1_14 300 N 
5558.7904 N306 1000000 ADB2 p1_8 300 N 
5560.0653 N307 1000000 ADB2 p2_22 300 N 
5566.3728 N308 1000000 ADB2 p1_12 300 N 
5573.0000 M188 126547 p2_21 ADB2 300 N 
5575.6328 N309 1000000 ADB2 p2_15 300 N 
5576.0367 N310 1000000 ADB2 p2_21 300 N 
5581.0794 N311 1000000 ADB2 p1_7 300 N 
5600.4561 N312 1000000 ADB2 p2_22 300 N 
5602.0000 M189 134866 p2_15 ADB2 300 N 
5612.2690 N313 1000000 ADB2 p1_10 300 N 
5634.0000 M190 86985 p1_14 ADB2 300 N 
5656.5483 N314 1000000 ADB2 p2_15 300 N 
